Extruder 1 current,Extruder speed,Extruder 1 head pressure,Extruder 1 head temperature,Calender 1 current,Calender 1 speed,Calender 1 film temperature,Calender 1 drive side roller distance,Calender 1 operation side roller distance,"Calender 1 drive side
Upper chamber pressure","Calvestor 1 drive side
Lower chamber pressure ","Calender 1 operating side
Upper chamber pressure ","Calves 1 operating side
Lower chamber pressure",calender width,Thickness measurement drive side,thickness measurement operation side
378.71,3.5,2.98,82.11,56.33,2.99,80.31,1.23,1.22,46.76,35.62,31.43,45.13,728.4,1.28,1.37
378.71,3.5,2.98,82.11,56.33,2.99,80.31,1.23,1.22,46.76,35.62,31.43,45.13,728.4,1.28,1.37
383.71,3.5,2.97,82.11,56.31,3,80.29,1.23,1.22,51.22,39.93,35.78,49.26,727.9,1.27,1.37
386.2,3.49,2.97,82.12,56.35,2.99,80.29,1.23,1.22,49.9,38.79,34.94,48.47,726.8,1.27,1.37
386.2,3.49,2.97,82.12,56.35,2.99,80.29,1.23,1.22,49.9,38.79,34.94,48.47,726.8,1.27,1.37
386.16,3.51,2.97,82.13,56.37,3,80.39,1.23,1.22,51.79,40.18,35.74,49.13,726.3,1.27,1.37
385.65,3.51,2.97,82.12,56.39,3,80.47,1.23,1.22,51.23,40.11,35.76,49.4,725.7,1.27,1.36
387.91,3.5,2.97,82.13,56.35,3,80.47,1.23,1.22,45.01,32.74,28.89,42.57,724.6,1.26,1.36
386.2,3.52,2.97,82.12,56.37,3,80.56,1.23,1.22,49.46,36.87,33.45,47.73,723.8,1.26,1.35
386.2,3.52,2.97,82.12,56.37,3,80.56,1.23,1.22,49.46,36.87,33.45,47.73,723.8,1.26,1.35
384.01,3.51,2.96,82.13,56.45,3,80.5,1.23,1.22,51.05,38.86,35.07,49.56,722.6,1.25,1.34
381.09,3.53,2.96,82.14,56.46,3,80.43,1.23,1.22,47.24,34.65,30.59,44.87,722.3,1.25,1.33
376.85,3.53,2.97,82.14,56.47,3,80.46,1.23,1.22,47.92,36.02,31.85,46.55,721.9,1.24,1.33
376.85,3.53,2.97,82.14,56.47,3,80.46,1.23,1.22,47.92,36.02,31.85,46.55,721.9,1.24,1.33
370.43,3.53,2.96,82.14,56.6,2.99,80.43,1.23,1.22,48.44,35.99,31.29,46.21,721.3,1.24,1.32
367.87,3.52,2.96,82.14,56.54,3,80.4,1.23,1.22,44.92,32.65,27.69,42.52,720.2,1.23,1.31
366.09,3.52,2.95,82.15,56.47,3,80.33,1.23,1.22,48.43,36.37,31.72,46.42,719.5,1.23,1.31
364.11,3.52,2.95,82.15,56.54,3,80.37,1.23,1.22,48.52,36.17,31.47,46.34,718.9,1.23,1.31
365.43,3.5,2.95,82.16,56.54,3,80.4,1.23,1.22,48.52,36.17,31.47,46.34,718.9,1.23,1.31
365.68,3.51,2.94,82.15,56.6,3,80.37,1.23,1.22,45.46,32.95,29.26,43.61,718.1,1.22,1.3
364.99,3.52,2.94,82.16,56.6,3,80.36,1.23,1.22,46.1,33.36,29.79,44.14,717.8,1.22,1.3
366.16,3.5,2.94,82.16,56.68,2.99,80.38,1.23,1.22,46.49,34.46,29.82,44.56,717.6,1.22,1.3
364.15,3.52,2.94,82.16,56.68,2.99,80.38,1.23,1.22,46.49,34.46,29.82,44.56,717.6,1.22,1.3
364.15,3.52,2.94,82.16,56.71,3,80.42,1.23,1.22,49.48,37.04,32.89,47.23,717.3,1.22,1.3
366.09,3.5,2.94,82.16,56.76,3,80.32,1.23,1.22,47.38,34.7,30.26,44.91,716.6,1.21,1.29
367.07,3.5,2.94,82.17,56.8,3,80.18,1.23,1.22,43.78,31.78,26.95,41.7,715.2,1.21,1.29
367.18,3.51,2.94,82.16,56.81,3,80.24,1.23,1.22,46.19,33.74,29.18,43.52,715.2,1.21,1.29
367.18,3.52,2.94,82.18,56.81,3,80.24,1.23,1.22,46.19,33.74,29.18,43.52,715.2,1.21,1.29
365.43,3.51,2.94,82.17,56.84,3,80.21,1.23,1.22,46.11,33.81,29.14,43.89,714.8,1.21,1.29
364.88,3.51,2.94,82.18,56.86,3,80.29,1.23,1.22,47.03,34.82,30.31,45.07,714.4,1.21,1.29
365.25,3.51,2.94,82.17,56.89,3,80.23,1.23,1.22,50.87,38.99,34.05,48.88,714,1.21,1.3
364.37,3.51,2.95,82.18,56.93,3,80.19,1.23,1.22,44.8,32.4,28.1,42.67,713.3,1.21,1.3
361.74,3.53,2.95,82.18,56.92,3,80.15,1.23,1.22,44.84,32.38,27.81,42.73,713.1,1.21,1.3
361.96,3.52,2.95,82.18,56.92,3,80.09,1.23,1.22,47.87,35.58,30.24,45.11,712.6,1.21,1.3
359.77,3.52,2.95,82.19,56.95,3,80.14,1.23,1.22,46.61,33.38,28.58,43.31,712.5,1.21,1.3
360.14,3.51,2.94,82.18,56.92,2.99,80.2,1.23,1.22,46.25,33.8,29.74,44.22,712.3,1.21,1.29
361.38,3.5,2.94,82.19,56.81,3,80.26,1.23,1.23,46.64,35.03,30.5,45.02,712,1.21,1.29
363.38,3.5,2.94,82.18,56.79,3,80.25,1.23,1.22,48.94,36.88,32.21,47.09,711.9,1.21,1.29
367.76,3.48,2.94,82.2,56.82,3,80.29,1.23,1.22,46.58,33.58,29.79,44.57,711.8,1.21,1.29
372.03,3.49,2.93,82.19,56.82,3,80.3,1.23,1.22,48.1,36.14,31.42,46.26,711.2,1.21,1.29
374.55,3.5,2.93,82.2,56.84,3,80.31,1.23,1.22,47.81,35.87,31.39,45.97,710.9,1.22,1.29
379.33,3.48,2.93,82.19,56.85,3,80.24,1.23,1.22,50.86,38.52,34.03,48.49,710.6,1.22,1.29
381.89,3.49,2.94,82.2,56.81,3,80.3,1.23,1.22,44.44,32.5,27.48,42.38,710.6,1.22,1.29
381.89,3.49,2.94,82.2,56.81,3,80.3,1.23,1.22,44.44,32.5,27.48,42.38,710.6,1.22,1.29
381.82,3.52,2.95,82.2,56.89,3,80.22,1.23,1.22,49.65,37.77,33.49,47.91,710.3,1.22,1.29
379.81,3.52,2.95,82.21,56.87,3,80.23,1.23,1.22,47.02,34.86,30.59,45.21,710.3,1.22,1.29
378.64,3.52,2.95,82.2,56.86,3,80.19,1.23,1.22,49.42,37.18,32.55,47.4,710.3,1.22,1.29
375.21,3.53,2.95,82.21,56.97,2.99,80.19,1.23,1.22,44.76,32.26,27.25,41.79,709.6,1.22,1.29
371.74,3.52,2.95,82.21,57,2.99,80.2,1.23,1.22,45.89,33.81,28.91,43.81,709.4,1.22,1.3
369.81,3.52,2.95,82.21,57,2.99,80.2,1.23,1.22,45.89,33.81,28.91,43.81,709.4,1.22,1.3
368.28,3.52,2.95,82.21,56.95,3,79.98,1.23,1.22,45.32,33.55,28.55,43.46,708.7,1.22,1.3
368.9,3.51,2.95,82.21,57.03,2.99,80.14,1.23,1.22,47.26,34.65,29.44,44.01,708.8,1.22,1.3
370.57,3.5,2.94,82.22,57.07,3,80.2,1.23,1.23,43.6,31.49,27.41,41.46,708.6,1.22,1.3
372.58,3.5,2.94,82.22,57.09,3,80.29,1.23,1.22,43.85,32.25,27.57,41.58,708.8,1.22,1.3
375.03,3.5,2.94,82.22,57.11,3,80.24,1.23,1.22,47.59,36.62,31.66,45.69,708.5,1.22,1.3
376.93,3.5,2.94,82.22,57.15,3,80.23,1.23,1.22,47.95,36.84,32.1,45.89,708,1.22,1.3
379.3,3.5,2.94,82.23,57.15,3,80.23,1.23,1.22,47.95,36.84,32.1,45.89,708,1.22,1.3
374.81,3.53,2.94,82.22,57.24,3,80.16,1.23,1.22,45.65,34.82,30.33,43.98,707.4,1.21,1.29
371.93,3.52,2.94,82.23,57.21,3,80.26,1.23,1.22,48.62,37.65,32.95,46.19,707.4,1.21,1.29
372.51,3.51,2.95,82.22,57.14,3,80.32,1.23,1.22,47.86,36.7,32.04,45.75,707.4,1.21,1.29
371.41,3.51,2.95,82.23,57.18,3,80.3,1.23,1.22,49.07,38.22,33.42,47.07,707.3,1.21,1.29
372.87,3.51,2.95,82.23,57.18,3,80.3,1.23,1.22,49.07,38.22,33.42,47.07,707.4,1.2,1.29
374.77,3.5,2.95,82.24,57.24,3,80.29,1.23,1.22,49.1,38.28,33.28,47.1,707.4,1.2,1.28
372.66,3.52,2.95,82.24,57.24,3,80.29,1.23,1.22,49.1,38.28,33.28,47.1,707.4,1.2,1.28
368.97,3.53,2.95,82.24,57.2,3,80.31,1.23,1.22,50.24,38.88,33.75,47.69,707.1,1.2,1.28
367.4,3.52,2.95,82.25,57.36,3,80.29,1.23,1.22,49.74,38.77,34.26,48.3,706.7,1.19,1.27
364.88,3.52,2.94,82.24,57.4,3,80.24,1.23,1.22,50.62,39.98,35.37,49,706.4,1.19,1.27
362.22,3.52,2.94,82.26,57.33,3,80.21,1.23,1.22,48.04,36.4,32.25,45.91,706.5,1.19,1.27
361.41,3.52,2.94,82.24,57.34,3,80.17,1.23,1.22,48.92,37.77,33.49,47.43,706.5,1.19,1.27
360.72,3.51,2.93,82.25,57.39,2.99,80.19,1.23,1.22,50.56,39.58,34.97,48.47,706.6,1.18,1.26
360.72,3.51,2.93,82.25,57.39,2.99,80.19,1.23,1.22,50.56,39.58,34.97,48.47,706.6,1.18,1.26
364.11,3.5,2.93,82.26,57.37,3,80.14,1.23,1.22,51.71,40.47,35.92,49.58,706.4,1.18,1.26
365.87,3.5,2.92,82.26,57.38,3,80.13,1.23,1.22,51.67,41.39,36.8,50.69,706,1.18,1.26
368.42,3.5,2.92,82.26,57.43,3,80.14,1.23,1.22,48.39,37.18,32.52,46.17,705.8,1.18,1.26
371.27,3.5,2.92,82.26,57.44,3,80.16,1.23,1.22,49.45,38.5,33.81,47.4,705.6,1.18,1.26
372.44,3.5,2.92,82.25,57.44,3,80.15,1.23,1.22,49.45,38.5,33.81,47.4,705.6,1.18,1.26
375.5,3.49,2.92,82.27,57.53,3,80.14,1.23,1.22,48.56,37.38,32.84,46.83,705.8,1.18,1.26
375.87,3.51,2.92,82.26,57.51,3,80.17,1.23,1.22,49.99,39.35,33.99,47.99,705.9,1.18,1.26
372.98,3.53,2.93,82.27,57.6,3,80.17,1.23,1.22,52.58,41.57,37.44,51.12,706,1.18,1.26
372.18,3.51,2.93,82.27,57.6,3,80.12,1.23,1.22,48.53,37.63,32.91,46.7,706,1.18,1.26
369.55,3.52,2.93,82.27,57.63,3,80.12,1.23,1.22,48.53,37.63,32.91,46.7,706.1,1.18,1.27
365.32,3.53,2.93,82.27,57.67,2.99,80.1,1.23,1.22,47.65,36.22,31.62,45.33,705.4,1.18,1.27
363.02,3.52,2.93,82.28,57.64,3,80.12,1.23,1.22,53.42,41.96,37.57,51.16,705.5,1.19,1.27
361.05,3.52,2.93,82.28,57.64,3,80.12,1.23,1.22,53.42,41.96,37.57,51.16,705.5,1.19,1.27
358.89,3.52,2.93,82.28,57.64,3,80.02,1.23,1.22,49.25,37.86,33.23,47.22,705.6,1.19,1.27
358.16,3.52,2.93,82.29,57.64,3,79.93,1.23,1.22,49.25,37.86,33.23,47.22,705.6,1.19,1.27
